함수명,설명
- ??0QLocalServer@@QAE@PAVQObject@@@Z,"QLocalServer 클래스의 생성자로, 로컬 서버를 초기화합니다."
- ??0QLocalSocket@@QAE@PAVQObject@@@Z,"QLocalSocket 클래스의 생성자로, 로컬 소켓을 초기화합니다."
- ??0QNetworkAccessManager@@QAE@PAVQObject@@@Z,"QNetworkAccessManager 클래스의 생성자로, 네트워크 접근 관리자를 초기화합니다."
- ??0QNetworkAddressEntry@@QAE@ABV0@@Z,"QNetworkAddressEntry 클래스의 복사 생성자로, 네트워크 주소 항목을 복사합니다."
- ??0QNetworkAddressEntry@@QAE@XZ,"QNetworkAddressEntry 클래스의 기본 생성자로, 네트워크 주소 항목을 초기화합니다."
- ??0QNetworkCacheMetaData@@QAE@ABV0@@Z,"QNetworkCacheMetaData 클래스의 복사 생성자로, 네트워크 캐시 메타데이터를 복사합니다."
- ??0QNetworkCacheMetaData@@QAE@XZ,"QNetworkCacheMetaData 클래스의 기본 생성자로, 네트워크 캐시 메타데이터를 초기화합니다."
- ??0QNetworkConfiguration@@QAE@ABV0@@Z,"QNetworkConfiguration 클래스의 복사 생성자로, 네트워크 구성을 복사합니다."
- ??0QNetworkConfiguration@@QAE@XZ,"QNetworkConfiguration 클래스의 기본 생성자로, 네트워크 구성을 초기화합니다."
- ??0QNetworkConfigurationManager@@QAE@PAVQObject@@@Z,"QNetworkConfigurationManager 클래스의 생성자로, 네트워크 구성 관리자를 초기화합니다."
- ??0QNetworkConfigurationManagerPrivate@@QAE@XZ,"QNetworkConfigurationManagerPrivate 클래스의 기본 생성자로, 네트워크 구성 관리자 비공개 데이터를 초기화합니다."
- ??0QNetworkCookie@@QAE@ABV0@@Z,"QNetworkCookie 클래스의 복사 생성자로, 네트워크 쿠키를 복사합니다."
- ??0QNetworkCookie@@QAE@ABVQByteArray@@0@Z,"QNetworkCookie 클래스의 생성자로, 바이트 배열로부터 네트워크 쿠키를 초기화합니다."
- ??0QNetworkCookieJar@@QAE@PAVQObject@@@Z,"QNetworkCookieJar 클래스의 생성자로, 네트워크 쿠키 저장소를 초기화합니다."
- ??0QNetworkDiskCache@@QAE@PAVQObject@@@Z,"QNetworkDiskCache 클래스의 생성자로, 네트워크 디스크 캐시를 초기화합니다."
- ??0QNetworkInterface@@QAE@ABV0@@Z,"QNetworkInterface 클래스의 복사 생성자로, 네트워크 인터페이스를 복사합니다."
- ??0QNetworkInterface@@QAE@XZ,"QNetworkInterface 클래스의 기본 생성자로, 네트워크 인터페이스를 초기화합니다."
- ??0QNetworkProxy@@QAE@ABV0@@Z,"QNetworkProxy 클래스의 복사 생성자로, 네트워크 프록시를 복사합니다."
- ??0QNetworkProxy@@QAE@W4ProxyType@0@ABVQString@@G11@Z,"QNetworkProxy 클래스의 생성자로, 특정 프록시 유형과 설정을 초기화합니다."
- ??0QNetworkProxy@@QAE@XZ,"QNetworkProxy 클래스의 기본 생성자로, 네트워크 프록시를 초기화합니다."
- ??0QNetworkProxyFactory@@QAE@ABV0@@Z,"QNetworkProxyFactory 클래스의 복사 생성자로, 네트워크 프록시 팩토리를 복사합니다."
- ??0QNetworkProxyFactory@@QAE@XZ,"QNetworkProxyFactory 클래스의 기본 생성자로, 네트워크 프록시 팩토리를 초기화합니다."
- ??0QNetworkProxyQuery@@QAE@ABV0@@Z,"QNetworkProxyQuery 클래스의 복사 생성자로, 네트워크 프록시 쿼리를 복사합니다."
- ??0QNetworkProxyQuery@@QAE@ABVQNetworkConfiguration@@ABVQString@@H1W4QueryType@0@@Z,"QNetworkProxyQuery 클래스의 생성자로, 특정 네트워크 구성과 쿼리 유형을 초기화합니다."
- ??0QNetworkProxyQuery@@QAE@ABVQNetworkConfiguration@@ABVQUrl@@W4QueryType@0@@Z,"QNetworkProxyQuery 클래스의 생성자로, 특정 네트워크 구성과 URL, 쿼리 유형을 초기화합니다."
- ??0QNetworkProxyQuery@@QAE@ABVQNetworkConfiguration@@GABVQString@@W4QueryType@0@@Z,"QNetworkProxyQuery 클래스의 생성자로, 특정 네트워크 구성과 문자열, 쿼리 유형을 초기화합니다."
- ??0QNetworkProxyQuery@@QAE@ABVQString@@H0W4QueryType@0@@Z,"QNetworkProxyQuery 클래스의 생성자로, 문자열과 쿼리 유형을 초기화합니다."
- ??0QNetworkProxyQuery@@QAE@ABVQUrl@@W4QueryType@0@@Z,"QNetworkProxyQuery 클래스의 생성자로, URL과 쿼리 유형을 초기화합니다."
- ??0QNetworkProxyQuery@@QAE@GABVQString@@W4QueryType@0@@Z,"QNetworkProxyQuery 클래스의 생성자로, 문자열과 쿼리 유형을 초기화합니다."
- ??0QNetworkProxyQuery@@QAE@XZ,"QNetworkProxyQuery 클래스의 기본 생성자로, 네트워크 프록시 쿼리를 초기화합니다."
- ??0QNetworkReply@@IAE@AAVQNetworkReplyPrivate@@PAVQObject@@@Z,"QNetworkReply 클래스의 생성자로, 네트워크 응답을 초기화합니다."
- ??0QNetworkReply@@IAE@PAVQObject@@@Z,"QNetworkReply 클래스의 생성자로, 네트워크 응답을 초기화합니다."
- ??0QNetworkRequest@@QAE@ABV0@@Z,"QNetworkRequest 클래스의 복사 생성자로, 네트워크 요청을 복사합니다."
- ??0QNetworkRequest@@QAE@ABVQUrl@@@Z,"QNetworkRequest 클래스의 생성자로, URL로부터 네트워크 요청을 초기화합니다."
- ??0QNetworkSession@@QAE@ABVQNetworkConfiguration@@PAVQObject@@@Z,"QNetworkSession 클래스의 생성자로, 네트워크 세션을 초기화합니다."
- ??0QNetworkSessionPrivate@@QAE@XZ,"QNetworkSessionPrivate 클래스의 기본 생성자로, 네트워크 세션 비공개 데이터를 초기화합니다."
- ??0QSslCertificate@@QAE@ABV0@@Z,"QSslCertificate 클래스의 복사 생성자로, SSL 인증서를 복사합니다."
- ??0QSslCertificate@@QAE@ABVQByteArray@@W4EncodingFormat@QSsl@@@Z,"QSslCertificate 클래스의 생성자로, 바이트 배열로부터 SSL 인증서를 초기화합니다."
- ??0QSslCertificate@@QAE@PAVQIODevice@@W4EncodingFormat@QSsl@@@Z,"QSslCertificate 클래스의 생성자로, IO 장치로부터 SSL 인증서를 초기화합니다."
- ??0QSslCertificateExtension@@QAE@ABV0@@Z,"QSslCertificateExtension 클래스의 복사 생성자로, SSL 인증서 확장을 복사합니다."
- ??0QSslCertificateExtension@@QAE@XZ,"QSslCertificateExtension 클래스의 기본 생성자로, SSL 인증서 확장을 초기화합니다."
- ??0QSslCipher@@QAE@ABV0@@Z,"QSslCipher 클래스의 복사 생성자로, SSL 암호를 복사합니다."
- ??0QSslCipher@@QAE@ABVQString@@@Z,"QSslCipher 클래스의 생성자로, 문자열로부터 SSL 암호를 초기화합니다."
- ??0QSslCipher@@QAE@ABVQString@@W4SslProtocol@QSsl@@@Z,"QSslCipher 클래스의 생성자로, 특정 SSL 프로토콜과 문자열로부터 SSL 암호를 초기화합니다."
- ??0QSslCipher@@QAE@XZ,"QSslCipher 클래스의 기본 생성자로, SSL 암호를 초기화합니다."
- ??0QSslConfiguration@@AAE@PAVQSslConfigurationPrivate@@@Z,"QSslConfiguration 클래스의 생성자로, SSL 구성을 초기화합니다."
- ??0QSslConfiguration@@QAE@ABV0@@Z,"QSslConfiguration 클래스의 복사 생성자로, SSL 구성을 복사합니다."
- ??0QSslConfiguration@@QAE@XZ,"QSslConfiguration 클래스의 기본 생성자로, SSL 구성을 초기화합니다."
- ??0QSslError@@QAE@ABV0@@Z,"QSslError 클래스의 복사 생성자로, SSL 오류를 복사합니다."
- ??0QSslError@@QAE@W4SslError@0@@Z,"QSslError 클래스의 생성자로, 특정 SSL 오류를 초기화합니다."
- ??0QSslError@@QAE@W4SslError@0@ABVQSslCertificate@@@Z,"QSslError 클래스의 생성자로, 특정 SSL 오류와 인증서를 초기화합니다."
- ??0QSslError@@QAE@XZ,"QSslError 클래스의 기본 생성자로, SSL 오류를 초기화합니다."
- ??0QSslKey@@QAE@ABV0@@Z,"QSslKey 클래스의 복사 생성자로, SSL 키를 복사합니다."
- ??0QSslKey@@QAE@ABVQByteArray@@W4KeyAlgorithm@QSsl@@W4EncodingFormat@3@W4KeyType@3@0@Z,"QSslKey 클래스의 생성자로, 바이트 배열로부터 SSL 키를 초기화합니다."
- ??0QSslKey@@QAE@PAVQIODevice@@W4KeyAlgorithm@QSsl@@W4EncodingFormat@3@W4KeyType@3@ABVQByteArray@@@Z,"QSslKey 클래스의 생성자로, IO 장치로부터 SSL 키를 초기화합니다."
- ??0QSslKey@@QAE@PAXW4KeyType@QSsl@@@Z,"QSslKey 클래스의 생성자로, 특정 키 유형으로 SSL 키를 초기화합니다."
- ??0QSslKey@@QAE@XZ,"QSslKey 클래스의 기본 생성자로, SSL 키를 초기화합니다."
- ??0QSslPreSharedKeyAuthenticator@@QAE@ABV0@@Z,"QSslPreSharedKeyAuthenticator 클래스의 복사 생성자로, SSL 사전 공유 키 인증자를 복사합니다."
- ??0QSslPreSharedKeyAuthenticator@@QAE@XZ,"QSslPreSharedKeyAuthenticator 클래스의 기본 생성자로, SSL 사전 공유 키 인증자를 초기화합니다."
- ??0QSslSocket@@QAE@PAVQObject@@@Z,"QSslSocket 클래스의 생성자로, SSL 소켓을 초기화합니다."
- ??0QTcpServer@@IAE@AAVQTcpServerPrivate@@PAVQObject@@@Z,"QTcpServer 클래스의 생성자로, TCP 서버를 초기화합니다."
- ??0QTcpServer@@QAE@PAVQObject@@@Z,"QTcpServer 클래스의 생성자로, TCP 서버를 초기화합니다."
