함수명,설명
?FeedUnit@GxSystem@@QAEXH@Z,GxSystem에서 피드 단위를 설정합니다.
?FieldBusTime@GxSystem@@QAEHXZ,GxSystem에서 필드버스 시간을 가져옵니다.
?FieldBusTime@GxSystem@@QAEXH@Z,GxSystem에서 필드버스 시간을 설정합니다.
?GB@GxSystem@@QAEHHH@Z,GxSystem에서 특정 데이터를 가져옵니다.
?GB@GxSystem@@QAEXHHH@Z,GxSystem에서 특정 데이터를 설정합니다.
?GB@Hx20System@@QAEHHH@Z,Hx20System에서 특정 데이터를 가져옵니다.
?GB@Hx20System@@QAEXHHH@Z,Hx20System에서 특정 데이터를 설정합니다.
?GW@GxSystem@@QAEHH@Z,GxSystem에서 특정 데이터를 가져옵니다.
?GW@GxSystem@@QAEXHH@Z,GxSystem에서 특정 데이터를 설정합니다.
?GW@Hx20System@@QAEHH@Z,Hx20System에서 특정 데이터를 가져옵니다.
?GW@Hx20System@@QAEXHH@Z,Hx20System에서 특정 데이터를 설정합니다.
?GetAxis@Hx20System@@QAEPAVHx20Axis@@H@Z,Hx20System에서 특정 축 객체를 가져옵니다.
?GetChannel@Hx20System@@QAEPAVHx20Channel@@H@Z,Hx20System에서 특정 채널 객체를 가져옵니다.
?GetMpProgram@GxChannel@@QAEHXZ,GxChannel에서 MP 프로그램을 가져옵니다.
?GetString@Hx20System@@QAEPBDH@Z,Hx20System에서 문자열 데이터를 가져옵니다.
?GxGetEB@@YAHHHH@Z,Gx 시스템에서 EB 데이터를 가져옵니다.
?GxGetEW@@YAHHH@Z,Gx 시스템에서 EW 데이터를 가져옵니다.
?GxGetMcMode@@YAHHH@Z,Gx 시스템에서 MC 모드를 가져옵니다.
?GxGetQB@@YAHHHH@Z,Gx 시스템에서 QB 데이터를 가져옵니다.
?GxGetQW@@YAHHH@Z,Gx 시스템에서 QW 데이터를 가져옵니다.
?GxGetRefStopSenor@@YAHHH@Z,Gx 시스템에서 참조 정지 센서 상태를 가져옵니다.
?GxPushEB@@YAXHHHH@Z,Gx 시스템에 EB 데이터를 푸시합니다.
?GxPushEW@@YAXHHH@Z,Gx 시스템에 EW 데이터를 푸시합니다.
?GxPushFB@@YAXHHHH@Z,Gx 시스템에 피드백 데이터를 푸시합니다.
?GxPushFW@@YAXHHH@Z,Gx 시스템에 전방 데이터를 푸시합니다.
?GxPushMcMode@@YAXHHH@Z,Gx 시스템에 MC 모드를 푸시합니다.
?GxPushQB@@YAXHHHH@Z,Gx 시스템에 QB 데이터를 푸시합니다.
?GxPushQW@@YAXHHH@Z,Gx 시스템에 QW 데이터를 푸시합니다.
?GxSendBuffer@@YAXH@Z,Gx 시스템에 버퍼를 전송합니다.
?GxSetEB@@YAXHHHH@Z,Gx 시스템에 EB 데이터를 설정합니다.
?GxSetEW@@YAXHHH@Z,Gx 시스템에 EW 데이터를 설정합니다.
?GxSetFB@@YAXHHHH@Z,Gx 시스템에 피드백 데이터를 설정합니다.
?GxSetFW@@YAXHHH@Z,Gx 시스템에 전방 데이터를 설정합니다.
?GxSetMcMode@@YAXHHH@Z,Gx 시스템에 MC 모드를 설정합니다.
?GxSetQB@@YAXHHHH@Z,Gx 시스템에 QB 데이터를 설정합니다.
?GxSetQW@@YAXHHH@Z,Gx 시스템에 QW 데이터를 설정합니다.
?HXAxisGetType_@@YAJKAAK000@Z,HX 시스템에서 축의 타입을 가져옵니다.
?HXAxisSetMaxRPM@@YAJKK@Z,HX 시스템에서 축의 최대 RPM을 설정합니다.
?HXGetMainSpindle@@YAJXZ,HX 시스템에서 메인 스핀들을 가져옵니다.
?HXGetNCsate@@YAJK@Z,HX 시스템에서 NC 상태를 가져옵니다.
?HXGetZAxis@@YAJXZ,HX 시스템에서 Z 축을 가져옵니다.
?HXInitialize2@@YAJJJJJJJ@Z,HX 시스템을 초기화합니다.
?HXSetMainSpindle@@YAJK@Z,HX 시스템에서 메인 스핀들을 설정합니다.
?HXSetSFunction@@YAJKKK@Z,HX 시스템에서 S 함수를 설정합니다.
?HXSetZAxis@@YAJK@Z,HX 시스템에서 Z 축을 설정합니다.
?HxGetAxisRapidFeed@@YANHH@Z,Hx 시스템에서 축의 고속 피드를 가져옵니다.
?HxPushAxisRapidFeed@@YAXHHN@Z,Hx 시스템에 축의 고속 피드를 푸시합니다.
?HxPushFB@@YAXHHHH@Z,Hx 시스템에 피드백 데이터를 푸시합니다.
?HxPushFW@@YAXHHH@Z,Hx 시스템에 전방 데이터를 푸시합니다.
?HxPushSystemProgramChangeNumber@@YAXHH@Z,Hx 시스템에 프로그램 변경 번호를 푸시합니다.
?HxSetAxisRapidFeed@@YAXHHN@Z,Hx 시스템에 축의 고속 피드를 설정합니다.
?HxSetFW@@YAXHHH@Z,Hx 시스템에 전방 데이터를 설정합니다.
?Initialize@Hx20System@@QAEHH@Z,Hx20System을 초기화합니다.
?IpoTime@GxSystem@@QAEHXZ,GxSystem에서 IPO 시간을 가져옵니다.
?IpoTime@GxSystem@@QAEXH@Z,GxSystem에서 IPO 시간을 설정합니다.
?JogStart@GxAxis@@QAEXHHHH@Z,GxAxis에서 조깅을 시작합니다.
?JogStop@GxAxis@@QAEXXZ,GxAxis에서 조깅을 중지합니다.
?LengthUnit@GxSystem@@QAEHXZ,GxSystem에서 길이 단위를 가져옵니다.
?LengthUnit@GxSystem@@QAEXH@Z,GxSystem에서 길이 단위를 설정합니다.
?MachinePosition@GxAxis@@QAEHXZ,GxAxis에서 기계 위치를 가져옵니다.
?MotionAxis@GxChannel@@QAEHH@Z,GxChannel에서 모션 축을 가져옵니다.
?MotionAxis@GxChannel@@QAEXHH@Z,GxChannel에서 모션 축을 설정합니다.
?MoveStart@GxAxis@@QAEHHHHH@Z,GxAxis에서 이동을 시작합니다.
?PAF@Hx20System@@QAENH@Z,Hx20System에서 PAF 데이터를 가져옵니다.
?PAF@Hx20System@@QAEXHN@Z,Hx20System에서 PAF 데이터를 설정합니다.
?PAW@Hx20System@@QAEHH@Z,Hx20System에서 PAW 데이터를 가져옵니다.
?PAW@Hx20System@@QAEXHH@Z,Hx20System에서 PAW 데이터를 설정합니다.
?PB@GxSystem@@QAEHHH@Z,GxSystem에서 PB 데이터를 가져옵니다.
?PB@GxSystem@@QAEXHHH@Z,GxSystem에서 PB 데이터를 설정합니다.
?PIF@Hx20System@@QAENH@Z,Hx20System에서 PIF 데이터를 가져옵니다.
