함수명,설명
- `HxExGetAxisLimitMINUS`,축의 마이너스 한계를 가져옵니다.
- `HxExGetAxisLimitPLUS`,축의 플러스 한계를 가져옵니다.
- `HxExGetAxisLoad`,축의 부하를 가져옵니다.
- `HxExGetAxisName`,축의 이름을 가져옵니다.
- `HxExGetAxisPowerConsumption`,축의 전력 소비를 가져옵니다.
- `HxExGetAxisRegeneratedPower`,축의 재생 전력을 가져옵니다.
- `HxExGetAxisTemperature`,축의 온도를 가져옵니다.
- `HxExGetBit`,비트를 가져옵니다.
- `HxExGetBlockCurrent`,현재 블록을 가져옵니다.
- `HxExGetBlockLast`,마지막 블록을 가져옵니다.
- `HxExGetBlockNext`,다음 블록을 가져옵니다.
- `HxExGetBlockSkip`,블록 건너뛰기를 가져옵니다.
- `HxExGetCB`,CB 값을 가져옵니다.
- `HxExGetCW`,CW 값을 가져옵니다.
- `HxExGetChannelEnabled`,채널이 사용 가능한지 확인합니다.
- `HxExGetChannelsCount`,채널의 개수를 가져옵니다.
- `HxExGetCncVendor`,CNC 공급업체를 가져옵니다.
- `HxExGetCurrentAccessLevel`,현재 접근 수준을 가져옵니다.
- `HxExGetCurrentBlockCounter`,현재 블록 카운터를 가져옵니다.
- `HxExGetCurrentDepthLevel`,현재 깊이 수준을 가져옵니다.
- `HxExGetCurrentSequenceNumber`,현재 시퀀스 번호를 가져옵니다.
- `HxExGetCurrentTotalWorkOffsetIndex`,현재 총 작업 오프셋 인덱스를 가져옵니다.
- `HxExGetCurrentTotalWorkOffsetMirroringEnabled`,현재 총 작업 오프셋 미러링이 사용 가능한지 확인합니다.
- `HxExGetCurrentTotalWorkOffsetRotation`,현재 총 작업 오프셋 회전을 가져옵니다.
- `HxExGetCurrentTotalWorkOffsetScalingFactor`,현재 총 작업 오프셋 스케일링 팩터를 가져옵니다.
- `HxExGetCurrentTotalWorkOffsetValue`,현재 총 작업 오프셋 값을 가져옵니다.
- `HxExGetCurrentWorkCounter`,현재 작업 카운터를 가져옵니다.
- `HxExGetCurrentWorkOffsetIndex`,현재 작업 오프셋 인덱스를 가져옵니다.
- `HxExGetDB`,DB 값을 가져옵니다.
- `HxExGetDW`,DW 값을 가져옵니다.
- `HxExGetDesiredFeedRateSpeed`,원하는 이송 속도를 가져옵니다.
- `HxExGetDesiredSpindleSpeed`,원하는 스핀들 속도를 가져옵니다.
- `HxExGetDistanceToGoPosition`,목표 위치까지의 거리를 가져옵니다.
- `HxExGetDryRun`,드라이 런 상태를 가져옵니다.
- `HxExGetEstimatedMachiningTime`,예상 가공 시간을 가져옵니다.
- `HxExGetFB`,FB 값을 가져옵니다.
- `HxExGetFW`,FW 값을 가져옵니다.
