함수명,설명
- ?mmReadEEPROMVIRT@@YAHPEAXKKPEAE@Z,가상 인터페이스에서 EEPROM 데이터를 읽습니다.
- ?mmStartBusSpeed@@YAHPEAX@Z,버스 속도를 시작합니다.
- ?mmStopBusSpeed@@YAHPEAX@Z,버스 속도를 중지합니다.
- ?mmWriteEEPROM1394@@YAHPEAXKKPEAE@Z,1394 인터페이스에서 EEPROM에 데이터를 씁니다.
- ?mmWriteEEPROMPCIE@@YAHPEAXKKPEAE@Z,PCIe 인터페이스에서 EEPROM에 데이터를 씁니다.
- ?mmWriteEEPROMUSB30@@YAHPEAXKKPEAE@Z,USB 3.0 인터페이스에서 EEPROM에 데이터를 씁니다.
- ?mm_CorrectBadPixels@@YAHPEAXPEAUBADPIXELSTATISTICS@@@Z,불량 픽셀을 수정합니다.
- ?mm_GetMeans@@YAHPEAU_CAMERA@@KKKKPEAM@Z,평균값을 계산합니다.
- ?mm_GetRawPixel@@YAHPEAXPEAU_CAMERA@@KKPEAG@Z,원시 픽셀 데이터를 가져옵니다.
- ?mm_GetRawPixelEx@@YAHPEAXPEAU_CAMERA@@KKPEAG@Z,확장된 원시 픽셀 데이터를 가져옵니다.
- ?mm_IsFrameComplete@@YAHPEAXPEAU_CAMERA@@@Z,프레임이 완전히 수신되었는지 확인합니다.
- ?mm_ProcessFrame@@YAHPEAXPEAU_CAMERA@@@Z,프레임을 처리합니다.
- ?mm_RetrieveBitmapAdv@@YAHPEAXPEAU_CAMERA@@PEAUMMGETBITMAP@@PEAUMMGETBITMAPOPT@@@Z,고급 옵션을 사용하여 비트맵 이미지를 가져옵니다.
- ?mm_RetrieveFrame@@YAHPEAXPEAU_CAMERA@@PEAUMMGETFRAME@@@Z,카메라로부터 프레임을 가져옵니다.
- ?mm_RetrieveFrameBayerEx@@YAHPEAXPEAU_CAMERA@@PEAUMMGETFRAMEEX@@@Z,Bayer 형식의 확장 프레임을 가져옵니다.
- ?mm_RetrieveFrameEx@@YAHPEAXPEAU_CAMERA@@PEAUMMGETFRAMEEX@@@Z,확장된 프레임 데이터를 가져옵니다.
- ?mm_RetrieveFramePlaneEx@@YAHPEAXPEAU_CAMERA@@PEAUMMGETFRAMEEX@@K@Z,확장된 프레임 데이터를 특정 평면에서 가져옵니다.
- ?mm_SaveBadPixelsList@@YAHPEAXPEAU_CAMERA@@@Z,불량 픽셀 목록을 저장합니다.
- ?mm_StartCameraStatus@@YAHPEAXPEAU_CAMERA@@H@Z,카메라의 상태 모니터링을 시작합니다.
- ?mq_CorrectBadPixels@@YAHPEAXPEAUBADPIXELSTATISTICS@@@Z,불량 픽셀을 수정합니다.
- ?mq_GetDeviceUserID@@YAHPEAXPEADPEAK@Z,장치 사용자 ID를 가져옵니다.
- ?mq_GetFactoryInfo@@YAHPEAXPEAD111PEAK@Z,공장 정보를 가져옵니다.
- ?mq_GetImageSensorTemperatureRaw@@YAHPEAXPEAM@Z,이미지 센서의 원시 온도 데이터를 가져옵니다.
- ?mq_GetTemperatureEx@@YAHPEAXPEAM1@Z,확장된 온도 정보를 가져옵니다.
- ?mq_GetTimestamp@@YAHPEAXPEAU_CAMERA@@PEAK2@Z,카메라의 타임스탬프를 가져옵니다.
- ?mq_ParseProfileNFFS@@YAHPEAXPEAD@Z,NFFS 프로파일을 파싱합니다.
- ?mq_SetAcquisitionBufferSize@@YAHPEAXPEAU_CAMERA@@K@Z,데이터 수집 버퍼 크기를 설정합니다.
- ?mq_SetDeviceUserID@@YAHPEAXPEAD@Z,장치 사용자 ID를 설정합니다.
- ?mr_CalibrateTemperature2P@@YAHPEAXMM@Z,2점 온도 보정을 수행합니다.
- ?mr_CalibrateTemperature@@YAHPEAXMM@Z,온도 보정을 수행합니다.
- ?mr_CorrectBadPixels@@YAHPEAXPEAUBADPIXELSTATISTICS@@@Z,불량 픽셀을 수정합니다.
- ?mr_GetFactoryInfo@@YAHPEAXPEAD111PEAK@Z,공장 정보를 가져옵니다.
- ?mr_GetMeans@@YAHPEAU_CAMERA@@KKKKPEAM@Z,평균값을 계산합니다.
- ?mr_GetRawPixel@@YAHPEAXPEAU_CAMERA@@KKPEAG@Z,원시 픽셀 데이터를 가져옵니다.
- ?mr_GetRawPixelEx@@YAHPEAXPEAU_CAMERA@@KKPEAG@Z,확장된 원시 픽셀 데이터를 가져옵니다.
- ?mr_GetTemperature@@YAHPEAXPEAK@Z,온도 데이터를 가져옵니다.
- ?mr_GetTemperatureEx@@YAHPEAXPEAM1@Z,확장된 온도 정보를 가져옵니다.
- ?mr_GetTimestamp@@YAHPEAXPEAU_CAMERA@@PEAK2@Z,카메라의 타임스탬프를 가져옵니다.
- ?mr_ParseProfileFFS@@YAHPEAXPEAD@Z,FFS 프로파일을 파싱합니다.
- ?mr_ProcessFrame@@YAHPEAXPEAU_CAMERA@@@Z,프레임을 처리합니다.
- ?mr_RetrieveBitmapDn@@YAHPEAXPEAU_CAMERA@@PEAUMMGETBITMAP@@PEAUMMGETBITMAPOPT@@PEAUNOISE_PARAMS@@@Z,노이즈 파라미터를 사용하여 비트맵 이미지를 가져옵니다.
- ?mr_SetCooling@@YAHPEAXHM@Z,냉각 설정을 수행합니다.
- ?ms_GetFactoryInfo@@YAHPEAXPEAD111PEAK@Z,공장 정보를 가져옵니다.
- ?ms_GetTemperatureEx@@YAHPEAXPEAM1@Z,확장된 온도 정보를 가져옵니다.
- ?ms_GetTimestamp@@YAHPEAXPEAU_CAMERA@@PEAK2@Z,카메라의 타임스탬프를 가져옵니다.
- ?ms_SetAcquisitionBufferSize@@YAHPEAXPEAU_CAMERA@@K@Z,데이터 수집 버퍼 크기를 설정합니다.
- ?mu_CorrectBadPixels@@YAHPEAXPEAUBADPIXELSTATISTICS@@@Z,불량 픽셀을 수정합니다.
- ?mu_GetFactoryInfo@@YAHPEAXPEAD111PEAK@Z,공장 정보를 가져옵니다.
- ?mu_GetTemperatureEx@@YAHPEAXPEAM1@Z,확장된 온도 정보를 가져옵니다.
- ?mu_GetTimestamp@@YAHPEAXPEAU_CAMERA@@PEAK2@Z,카메라의 타임스탬프를 가져옵니다.
- ?mu_ProcessFrame@@YAHPEAXPEAU_CAMERA@@@Z,프레임을 처리합니다.
- ?mu_SaveBadPixelsList@@YAHPEAXPEAU_CAMERA@@@Z,불량 픽셀 목록을 저장합니다.
- ?mu_SetAcquisitionBufferSize@@YAHPEAXPEAU_CAMERA@@K@Z,데이터 수집 버퍼 크기를 설정합니다.
- ?mx_GetTemperatureEx@@YAHPEAXPEAM1@Z,확장된 온도 정보를 가져옵니다.
- ?xi3API_xiCloseDevice@@YAHPEAX@Z,장치를 닫습니다.
- ?xi3API_xiGetDeviceInfo@@YAHKPEBDPEAXPEAKPEAW4XI_PRM_TYPE@@@Z,장치 정보를 가져옵니다.
- ?xi3API_xiGetDeviceInfoInt@@YAHKPEBDPEAH@Z,장치 정보의 정수 값을 가져옵니다.
- ?xi3API_xiGetDeviceInfoString@@YAHKPEBDPEADK@Z,장치 정보의 문자열 값을 가져옵니다.
- ?xi3API_xiGetImage@@YAHPEAXKPEAUXI_IMG@@@Z,이미지를 가져옵니다.
- ?xi3API_xiGetNumberDevices@@YAHPEAK@Z,연결된 장치의 수를 가져옵니다.
- ?xi3API_xiGetParam@@YAHPEAXPEBD0PEAKPEAW4XI_PRM_TYPE@@@Z,장치의 매개변수를 가져옵니다.
- ?xi3API_xiOpenDevice@@YAHKPEAPEAX@Z,장치를 엽니다.
- ?xi3API_xiOpenDeviceBy@@YAHW4XI_OPEN_BY@@PEBDPEAPEAX@Z,특정 기준에 따라 장치를 엽니다.
- ?xi3API_xiSetDeviceInfo@@YAHKPEBDPEAXKW4XI_PRM_TYPE@@@Z,장치 정보를 설정합니다.
- ?xi3API_xiSetDeviceInfoString@@YAHKPEBDPEADK@Z,장치 정보의 문자열 값을 설정합니다.
- ?xi3API_xiSetParam@@YAHPEAXPEBD0KW4XI_PRM_TYPE@@@Z,장치의 매개변수를 설정합니다.
- ?xi3API_xiStartAcquisition@@YAHPEAX@Z,데이터 수집을 시작합니다.
- ?xi3API_xiStopAcquisition@@YAHPEAX@Z,데이터 수집을 중지합니다.
- ?xiSetDeviceInfo@@YAHKPEBDPEAXKW4XI_PRM_TYPE@@@Z,장치 정보를 설정합니다.
- DSAllocAndAnnounceBuffer,버퍼를 할당하고 선언합니다.
- DSAnnounceBuffer,버퍼를 선언합니다.
- DSFlushQueue,대기열을 플러시합니다.
