함수명,설명
- ??0QAbstractListModel@@IAE@AAVQAbstractItemModelPrivate@@PAVQObject@@@Z,QAbstractListModel 객체를 QAbstractItemModelPrivate 및 QObject 포인터로 초기화하는 생성자입니다.
- ??0QAbstractListModel@@QAE@PAVQObject@@@Z,QObject 포인터로 QAbstractListModel 객체를 초기화하는 생성자입니다.
- ??0QAbstractNativeEventFilter@@QAE@XZ,"기본 생성자로, 빈 QAbstractNativeEventFilter 객체를 생성합니다."
- ??0QAbstractProxyModel@@IAE@AAVQAbstractProxyModelPrivate@@PAVQObject@@@Z,QAbstractProxyModel 객체를 QAbstractProxyModelPrivate 및 QObject 포인터로 초기화하는 생성자입니다.
- ??0QAbstractProxyModel@@QAE@PAVQObject@@@Z,QObject 포인터로 QAbstractProxyModel 객체를 초기화하는 생성자입니다.
- ??0QAbstractProxyModelPrivate@@QAE@ABV0@@Z,QAbstractProxyModelPrivate 객체를 복사하여 생성하는 생성자입니다.
- ??0QAbstractProxyModelPrivate@@QAE@XZ,"기본 생성자로, 빈 QAbstractProxyModelPrivate 객체를 생성합니다."
- ??0QAbstractState@@IAE@AAVQAbstractStatePrivate@@PAVQState@@@Z,QAbstractState 객체를 QAbstractStatePrivate 및 QState 포인터로 초기화하는 생성자입니다.
- ??0QAbstractState@@IAE@PAVQState@@@Z,QState 포인터로 QAbstractState 객체를 초기화하는 생성자입니다.
- ??0QAbstractTableModel@@IAE@AAVQAbstractItemModelPrivate@@PAVQObject@@@Z,QAbstractTableModel 객체를 QAbstractItemModelPrivate 및 QObject 포인터로 초기화하는 생성자입니다.
- ??0QAbstractTableModel@@QAE@PAVQObject@@@Z,QObject 포인터로 QAbstractTableModel 객체를 초기화하는 생성자입니다.
- ??0QAbstractTransition@@IAE@AAVQAbstractTransitionPrivate@@PAVQState@@@Z,QAbstractTransition 객체를 QAbstractTransitionPrivate 및 QState 포인터로 초기화하는 생성자입니다.
- ??0QAbstractTransition@@QAE@PAVQState@@@Z,QState 포인터로 QAbstractTransition 객체를 초기화하는 생성자입니다.
- ??0QAbstractTransitionPrivate@@QAE@ABV0@@Z,QAbstractTransitionPrivate 객체를 복사하여 생성하는 생성자입니다.
- ??0QAbstractTransitionPrivate@@QAE@XZ,"기본 생성자로, 빈 QAbstractTransitionPrivate 객체를 생성합니다."
- ??0QAnimationDriver@@IAE@AAVQAnimationDriverPrivate@@PAVQObject@@@Z,QAnimationDriver 객체를 QAnimationDriverPrivate 및 QObject 포인터로 초기화하는 생성자입니다.
- ??0QAnimationDriver@@QAE@PAVQObject@@@Z,QObject 포인터로 QAnimationDriver 객체를 초기화하는 생성자입니다.
- ??0QAnimationDriverPrivate@@QAE@ABV0@@Z,QAnimationDriverPrivate 객체를 복사하여 생성하는 생성자입니다.
- ??0QAnimationDriverPrivate@@QAE@XZ,"기본 생성자로, 빈 QAnimationDriverPrivate 객체를 생성합니다."
- ??0QAnimationGroup@@IAE@AAVQAnimationGroupPrivate@@PAVQObject@@@Z,QAnimationGroup 객체를 QAnimationGroupPrivate 및 QObject 포인터로 초기화하는 생성자입니다.
- ??0QAnimationGroup@@QAE@PAVQObject@@@Z,QObject 포인터로 QAnimationGroup 객체를 초기화하는 생성자입니다.
- ??0QAssociativeIterable@@QAE@VQAssociativeIterableImpl@QtMetaTypePrivate@@@Z,QAssociativeIterableImpl 객체를 사용하여 QAssociativeIterable을 생성하는 생성자입니다.
- ??0QBasicTimer@@QAE@XZ,"기본 생성자로, 빈 QBasicTimer 객체를 생성합니다."
- ??0QBitArray@@QAE@$$QAV0@@Z,QBitArray 객체를 복사하여 생성하는 생성자입니다.
- ??0QBitArray@@QAE@ABV0@@Z,기존 QBitArray 객체를 복사하여 새로운 객체를 생성하는 생성자입니다.
- ??0QBitArray@@QAE@H_N@Z,주어진 크기와 초기값으로 QBitArray 객체를 생성하는 생성자입니다.
- ??0QBitArray@@QAE@XZ,"기본 생성자로, 빈 QBitArray 객체를 생성합니다."
- ??0QBitRef@@AAE@AAVQBitArray@@H@Z,QBitArray의 특정 비트를 참조하는 QBitRef 객체를 생성하는 생성자입니다.
- ??0QBuffer@@QAE@PAVQByteArray@@PAVQObject@@@Z,QByteArray 및 QObject 포인터로 QBuffer 객체를 초기화하는 생성자입니다.
- ??0QBuffer@@QAE@PAVQObject@@@Z,QObject 포인터로 QBuffer 객체를 초기화하는 생성자입니다.
- ??0QByteArray@@QAE@$$QAV0@@Z,QByteArray 객체를 복사하여 생성하는 생성자입니다.
- ??0QByteArray@@QAE@ABV0@@Z,기존 QByteArray 객체를 복사하여 새로운 객체를 생성하는 생성자입니다.
- ??0QByteArray@@QAE@HD@Z,주어진 크기와 초기값으로 QByteArray 객체를 생성하는 생성자입니다.
- ??0QByteArray@@QAE@HW4Initialization@Qt@@@Z,주어진 크기와 초기화 방법으로 QByteArray 객체를 생성하는 생성자입니다.
- ??0QByteArray@@QAE@PBDH@Z,C 스타일 문자열과 길이를 받아 QByteArray 객체를 생성하는 생성자입니다.
- ??0QByteArray@@QAE@UQByteArrayDataPtr@@@Z,QByteArrayDataPtr 구조체를 사용하여 QByteArray 객체를 생성하는 생성자입니다.
- ??0QByteArray@@QAE@XZ,"기본 생성자로, 빈 QByteArray 객체를 생성합니다."
- ??0QByteArrayMatcher@@QAE@ABV0@@Z,QByteArrayMatcher 객체를 복사하여 생성하는 생성자입니다.
- ??0QByteArrayMatcher@@QAE@ABVQByteArray@@@Z,QByteArray 객체를 사용하여 QByteArrayMatcher를 생성하는 생성자입니다.
- ??0QByteArrayMatcher@@QAE@PBDH@Z,C 스타일 문자열과 길이를 받아 QByteArrayMatcher 객체를 생성하는 생성자입니다.
- ??0QByteArrayMatcher@@QAE@XZ,"기본 생성자로, 빈 QByteArrayMatcher 객체를 생성합니다."
- ??0QByteRef@@AAE@AAVQByteArray@@H@Z,QByteArray의 특정 바이트를 참조하는 QByteRef 객체를 생성하는 생성자입니다.
- ??0QChar@@QAE@D@Z,char 타입의 값을 받아 QChar 객체를 생성하는 생성자입니다.
- ??0QChar@@QAE@E@Z,unsigned char 타입의 값을 받아 QChar 객체를 생성하는 생성자입니다.
- ??0QChar@@QAE@EE@Z,두 개의 unsigned char 값을 받아 QChar 객체를 생성하는 생성자입니다.
- ??0QChar@@QAE@F@Z,short 타입의 값을 받아 QChar 객체를 생성하는 생성자입니다.
- ??0QChar@@QAE@G@Z,unsigned short 타입의 값을 받아 QChar 객체를 생성하는 생성자입니다.
- ??0QChar@@QAE@H@Z,int 타입의 값을 받아 QChar 객체를 생성하는 생성자입니다.
- ??0QChar@@QAE@I@Z,unsigned int 타입의 값을 받아 QChar 객체를 생성하는 생성자입니다.
- ??0QChar@@QAE@UQLatin1Char@@@Z,QLatin1Char 객체를 사용하여 QChar 객체를 생성하는 생성자입니다.
- ??0QChar@@QAE@W4SpecialCharacter@0@@Z,QChar::SpecialCharacter 열거형 값을 사용하여 QChar 객체를 생성하는 생성자입니다.
- ??0QChar@@QAE@XZ,"기본 생성자로, 빈 QChar 객체를 생성합니다."
- ??0QCharRef@@AAE@AAVQString@@H@Z,QString의 특정 문자를 참조하는 QCharRef 객체를 생성하는 생성자입니다.
