함수명,설명
- ?FirmwareVersion@CKMotionDLL_Direct@@QAEHH@Z,CKMotionDLL_Direct의 펌웨어 버전을 확인합니다.
- ?GetErrMsg@CKMotionDLL_Direct@@QAEPBDH@Z,오류 메시지를 가져옵니다.
- ?GetLoadAddress@CKMotionDLL@@QAEIHH@Z,로드 주소를 가져옵니다.
- ?GetStatus@CKMotionDLL@@QAEHAAUMAIN_STATUS@@_N@Z,상태 정보를 가져옵니다.
- ?KMotionLock@CKMotionDLL@@QAEHPAD@Z,KMotion을 잠급니다.
- ?KMotionLock@CKMotionDLL_Direct@@QAEHHPAD@Z,CKMotionDLL_Direct의 KMotion을 잠급니다.
- ?KMotionLockRecovery@CKMotionDLL@@QAEHXZ,KMotion 잠금 복구를 수행합니다.
- ?KMotionLockRecovery@CKMotionDLL_Direct@@QAEHH@Z,CKMotionDLL_Direct의 KMotion 잠금 복구를 수행합니다.
- ?LaunchServer@CKMotionDLL@@AAEHXZ,서버를 시작합니다.
- ?ListLocations@CKMotionDLL@@QAEHPAH0@Z,위치 목록을 나열합니다.
- ?ListLocations@CKMotionDLL_Direct@@QAEHPAH0@Z,CKMotionDLL_Direct의 위치 목록을 나열합니다.
- ?LoadCoff@CKMotionDLL@@QAEHHPBDH@Z,COFF 파일을 로드합니다.
- ?MapBoardToIndex@CKMotionDLL_Direct@@QAEHH@Z,보드를 인덱스에 매핑합니다.
- ?Pipe@CKMotionDLL@@AAEHPBDHPADPAH@Z,파이프를 통해 데이터를 전송합니다.
- ?PipeCmd@CKMotionDLL@@AAEHH@Z,파이프 명령을 실행합니다.
- ?PipeCmdStr@CKMotionDLL@@AAEHHPBD@Z,문자열 형태의 파이프 명령을 실행합니다.
- ?ReadLineTimeOut@CKMotionDLL@@QAEHPADH@Z,타임아웃을 설정하여 한 줄을 읽습니다.
- ?ReadLineTimeOut@CKMotionDLL_Direct@@QAEHHPADH@Z,CKMotionDLL_Direct에서 타임아웃을 설정하여 한 줄을 읽습니다.
- ?ReleaseToken@CKMotionDLL@@QAEXXZ,토큰을 해제합니다.
- ?ReleaseToken@CKMotionDLL_Direct@@QAEXH@Z,CKMotionDLL_Direct의 토큰을 해제합니다.
- ?ServiceConsole@CKMotionDLL@@QAEHXZ,콘솔 서비스를 수행합니다.
- ?ServiceConsole@CKMotionDLL_Direct@@QAEHH@Z,CKMotionDLL_Direct의 콘솔 서비스를 수행합니다.
- ?SetConsoleCallback@CKMotionDLL@@QAEHP6AHPBD@Z@Z,콘솔 콜백 함수를 설정합니다.
- ?SetConsoleCallback@CKMotionDLL_Direct@@QAEHHP6AHHPBD@Z@Z,CKMotionDLL_Direct의 콘솔 콜백 함수를 설정합니다.
- ?SetErrMsgCallback@CKMotionDLL@@QAEHP6AXPBD@Z@Z,오류 메시지 콜백 함수를 설정합니다.
- ?USBLocation@CKMotionDLL@@QAEHXZ,USB 위치를 확인합니다.
- ?USBLocation@CKMotionDLL_Direct@@QAEHH@Z,CKMotionDLL_Direct의 USB 위치를 확인합니다.
- ?WaitToken@CKMotionDLL@@QAEH_NHPAD@Z,토큰을 대기합니다.
- ?WriteLine@CKMotionDLL@@QAEHPBD@Z,한 줄을 씁니다.
- ?WriteLine@CKMotionDLL_Direct@@QAEHHPBD@Z,CKMotionDLL_Direct에서 한 줄을 씁니다.
- ?WriteLineReadLine@CKMotionDLL@@QAEHPBDPAD@Z,한 줄을 쓰고 읽습니다.
- ?WriteLineReadLine@CKMotionDLL_Direct@@QAEHHPBDPAD@Z,CKMotionDLL_Direct에서 한 줄을 쓰고 읽습니다.
- ?WriteLineWithEcho@CKMotionDLL@@QAEHPBD@Z,에코와 함께 한 줄을 씁니다.
- ?WriteLineWithEcho@CKMotionDLL_Direct@@QAEHHPBD@Z,CKMotionDLL_Direct에서 에코와 함께 한 줄을 씁니다.
- ?nInstances@CKMotionDLL_Direct@@QAEHXZ,CKMotionDLL_Direct의 인스턴스 수를 반환합니다.
