함수명,설명
- AxaiLogGetChannel,로그 채널을 가져오는 함수입니다.
- AxaiLogSetChannel,로그 채널을 설정하는 함수입니다.
- AxaiSetModuleOffsetValue,모듈 오프셋 값을 설정하는 함수입니다.
- AxaiSetMultiRange,다중 범위를 설정하는 함수입니다.
- AxaiSetRange,범위를 설정하는 함수입니다.
- AxaiSetRangeModule,모듈의 범위를 설정하는 함수입니다.
- AxaiSetTriggerMode,트리거 모드를 설정하는 함수입니다.
- AxaiSwReadDigit,소프트웨어 디지털 값을 읽는 함수입니다.
- AxaiSwReadMultiDigit,다중 소프트웨어 디지털 값을 읽는 함수입니다.
- AxaiSwReadMultiVoltage,다중 소프트웨어 전압을 읽는 함수입니다.
- AxaiSwReadVoltage,소프트웨어 전압을 읽는 함수입니다.
- AxaoGetRange,범위를 가져오는 함수입니다.
- AxaoInfoGetChannelCount,채널 개수를 가져오는 함수입니다.
- AxaoInfoGetModuleNoOfChannelNo,채널 번호에 대한 모듈 번호를 가져오는 함수입니다.
- AxaoLogGetChannel,로그 채널을 가져오는 함수입니다.
- AxaoLogSetChannel,로그 채널을 설정하는 함수입니다.
- AxaoPgGetStatus,패턴 생성기의 상태를 가져오는 함수입니다.
- AxaoPgGetUserInterval,사용자 간격을 가져오는 함수입니다.
- AxaoPgGetUserPatternGenerator,사용자 패턴 생성기를 가져오는 함수입니다.
- AxaoPgGetUserPatternGeneratorDigit,사용자 패턴 생성기의 디지털 값을 가져오는 함수입니다.
- AxaoPgSetUserInterval,사용자 간격을 설정하는 함수입니다.
- AxaoPgSetUserPatternGenerator,사용자 패턴 생성기를 설정하는 함수입니다.
- AxaoPgSetUserPatternGeneratorDigit,사용자 패턴 생성기의 디지털 값을 설정하는 함수입니다.
- AxaoPgSetUserStart,사용자 시작을 설정하는 함수입니다.
- AxaoPgSetUserStop,사용자 중지를 설정하는 함수입니다.
- AxaoReadDigit,디지털 값을 읽는 함수입니다.
- AxaoReadMultiDigit,다중 디지털 값을 읽는 함수입니다.
- AxaoReadMultiVoltage,다중 전압을 읽는 함수입니다.
- AxaoReadVoltage,전압을 읽는 함수입니다.
- AxaoSetMultiRange,다중 범위를 설정하는 함수입니다.
- AxaoSetNetworkErrorAct,네트워크 오류 동작을 설정하는 함수입니다.
- AxaoSetNetworkErrorUserValue,네트워크 오류 사용자 값을 설정하는 함수입니다.
